City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
52,Hilo,US,2021-08-14 17:39:16,19.7297,-155.09,75.79,89,75,3.44,light rain
53,Ushuaia,AR,2021-08-14 17:39:01,-54.8,-68.3,38.86,70,20,0.0,few clouds
54,Praia Da Vitoria,PT,2021-08-14 17:39:16,38.7333,-27.0667,80.85,69,40,18.72,scattered clouds
55,Lengshuijiang,CN,2021-08-14 17:39:17,27.6881,111.4294,70.38,95,100,1.52,overcast clouds
56,Kyabram,AU,2021-08-14 17:39:17,-36.3167,145.05,49.73,73,100,6.31,overcast clouds
57,Khatanga,RU,2021-08-14 17:39:18,71.9667,102.5,52.45,65,100,4.07,overcast clouds
58,Sabang,ID,2021-08-14 17:39:18,5.8933,95.3214,80.44,80,100,26.44,overcast clouds
59,Cape Town,ZA,2021-08-14 17:38:53,-33.9258,18.4232,55.11,71,0,1.99,clear sky
60,Castro,BR,2021-08-14 17:39:18,-24.7911,-50.0119,63.88,68,79,4.29,broken clouds
61,Kandrian,PG,2021-08-14 17:39:19,-6.2167,149.55,77.36,90,74,6.87,broken clouds
62,Bambanglipuro,ID,2021-08-14 17:39:19,-7.95,110.2833,75.0,90,45,5.99,scattered clouds
63,Payo,ID,2021-08-14 17:39:20,-3.7508,103.6372,73.49,97,100,2.21,overcast clouds
64,Mackay,AU,2021-08-14 17:39:20,-21.15,149.2,66.04,94,40,8.05,scattered clouds
65,Gizo,SB,2021-08-14 17:39:20,-8.103,156.8419,81.14,80,97,10.67,overcast clouds
66,Kapaa,US,2021-08-14 17:39:21,22.0752,-159.319,79.12,76,75,4.0,light rain
67,Rio Gallegos,AR,2021-08-14 17:39:21,-51.6226,-69.2181,42.85,75,75,12.66,broken clouds
68,Harsin,IR,2021-08-14 17:39:22,34.2721,47.5861,85.01,17,0,4.45,clear sky
69,Jyvaskyla,FI,2021-08-14 17:39:22,62.2415,25.7209,61.16,88,40,4.61,scattered clouds
70,Barrow,US,2021-08-14 17:39:23,71.2906,-156.7887,44.62,87,90,19.57,light rain
71,Saint-Pierre,RE,2021-08-14 17:39:23,-21.3393,55.4781,71.28,79,75,19.57,light rain
72,Hithadhoo,MV,2021-08-14 17:39:24,-0.6,73.0833,82.83,71,71,14.12,broken clouds
73,Karymskoye,RU,2021-08-14 17:39:24,51.6167,114.35,54.79,92,7,2.46,clear sky
74,Makinsk,KZ,2021-08-14 17:39:24,52.6292,70.4169,58.23,64,100,1.52,overcast clouds
75,Pisco,PE,2021-08-14 17:39:25,-13.7,-76.2167,62.65,82,90,6.91,mist
76,Carnarvon,AU,2021-08-14 17:39:25,-24.8667,113.6333,57.27,39,0,10.36,clear sky
77,Saint-Philippe,RE,2021-08-14 17:39:25,-21.3585,55.7679,71.19,85,70,17.36,light rain
78,Zitlala,MX,2021-08-14 17:39:26,17.6333,-99.0833,70.36,62,96,4.9,overcast clouds
79,Awjilah,LY,2021-08-14 17:39:26,29.1081,21.2869,92.88,21,0,10.76,clear sky
80,Alta Floresta,BR,2021-08-14 17:39:27,-9.8756,-56.0861,96.62,34,0,3.44,clear sky
81,Ugoofaaru,MV,2021-08-14 17:39:27,5.6667,73.0,82.22,76,100,18.66,overcast clouds
82,Norman Wells,CA,2021-08-14 17:39:27,65.282,-126.8329,53.64,87,75,9.22,light rain
83,Sambava,MG,2021-08-14 17:39:28,-14.2667,50.1667,71.69,82,0,16.53,clear sky
84,Cabo San Lucas,MX,2021-08-14 17:39:28,22.8909,-109.9124,94.6,61,20,1.01,few clouds
85,Montepuez,MZ,2021-08-14 17:39:29,-13.1256,38.9997,75.04,44,77,11.21,broken clouds
86,Krasnoborsk,RU,2021-08-14 17:39:29,61.5598,45.934,61.38,73,25,7.7,scattered clouds
87,Talnakh,RU,2021-08-14 17:39:30,69.4865,88.3972,52.68,83,100,6.73,overcast clouds
88,Ponta Do Sol,PT,2021-08-14 17:39:30,32.6667,-17.1,81.72,73,87,1.57,overcast clouds
89,Atchison,US,2021-08-14 17:39:30,39.563,-95.1216,84.38,67,0,6.46,clear sky
